title_english,image_webp_large_url,trailer_url,episodes,duration,rating,synopsis,background,year,studios,themes,genres,demographics
Bakunyuu Oyako,https://cdn.myanimelist.net/images/anime/1112/103882l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,2.0,29 min per ep,Rx - Hentai,"What happens when a big-breasted mother and her equally-endowed daughter want to fight over the same guy? Thanks to hentai authors Blue Gale (SPOTLIGHT / PUNISHMENT) and Producers Shiyuuta Biwajima and Chikara Niki (SEX WARD / GIRL NEXT DOOR / HOOLIGAN), you're about to find out! 

The Battle of the Busts! 

Yusuke has a problem - the kind of problem any guy would love to have. You see, there's this girl named Reina, who wants him to be her ""private tutor""... oh, and she just happens to have gigantic breasts. Huge, massive, watermelon-sized gazongas that taste sweet and are as soft as marshmallows. 

So, what could Yusuke's problem possibly be? Well, when he goes to Reina's house to give her ""lessons"", he has a run-in with Reina's mom. And boy, is her mom ever stacked. Those triple-F-cup beauties are even bigger than Reina's! Plus, she's got the whole ""sexual mid-life crisis"" going on... she pours it on hot and heavy, and really wants Yusuke to take her for a ride. 

Still not seeing the problem? Well each of these lovely ladies wants Yusuke for her own, so when mom catches Yusuke and Reina in the act, the fight is on -and Yusuke's trapped in the middle! Those two may be mother and daughter, but when it comes to winning Yusuke, they'll go to any length to prove their sexual skill! 

Good luck ladies, and may the best boobs win! 

(Source: AniDB)",---,2012.0,Y.O.U.C,School,Hentai,No demographic
F-Force,https://cdn.myanimelist.net/images/anime/1969/112604l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,3.0,28 min per ep,Rx - Hentai,"The gorgeous, supernaturally powered Alicia has been kidnapped by demons and enslaved for their unspeakably perverted pleasures. Her only hope for survival is a team of busty barbarians known as the F-Force. Each fabulous fighting female has her own style and deadly weapon of choice, but all share a love of danger and excitement - and there will be plenty of both as they fight to rescue their comrade from the ravages of evil!

(Source: RightStuf)",---,2012.0,Mook Animation,No theme,Hentai,No demographic
Bible Black Only,https://cdn.myanimelist.net/images/anime/12/10104l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,2.0,27 min per ep,Rx - Hentai,"Bible Black Only explores the sexual misadventures of the supporting cast from the main Bible Black series. Miss Takashiro reminisces on her demonic capture, Itoh reveals her sadistic side, and Saeki is stalked by her classmates. Bible Black Only is a series of stand-alone episodes that do not affect the continuity of the main Bible Black series, and it contains footage that was previously only available on the R2 Bible Black Perfect Collection DVD.

(Source: ANN)",---,2012.0,Studio Jam,No theme,Hentai,No demographic
Charm Point 1: Sister's Rondo,https://cdn.myanimelist.net/images/anime/1069/111774l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,29 min,Rx - Hentai,"Two sisters attend the same college, one as a teacher and one as a student. Both of them, however, date college boys the same age. The younger sister has a big problem, because her boyfriend never seems ready to satisfy her. Her older sister`s trouble is just the opposite!

(Source: AniDB)",---,2012.0,No studio,No theme,Hentai,No demographic
Legend of the Pervert,https://cdn.myanimelist.net/images/anime/1604/111977l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,2.0,28 min per ep,Rx - Hentai,"The phrase ""hard work"" takes on an entirely new--and sexy--meaning in Legend of the Pervert. With the office as its setting, this adults-only anime features a woman who enjoys a little solo fun in her office in the mornings and a young man whose female coworkers make him do naughty acts that would make human resources cringe.",---,2012.0,Y.O.U.C,No theme,Hentai,No demographic
Winds of Change,https://cdn.myanimelist.net/images/anime/13/78891l.webp,https://www.youtube.com/watch?v=8wQe4ngkm1Y,1.0,1 hr 20 min,PG - Children,"A magical blending of old and new, with colorful animation and an exciting disco/rock musical score, ""Winds of Change"" is a re-telling of 5 ancient Greek myths. These delightful cautionary tales are adapted from the classical author, Ovid, with a new character, called Wondermaker added. Wondermaker acts as our guide to each episode's meaning, and transforms himself into each of its heroes. First, he is Perseus cutting off the head of Medusa; then, Actaeon being turned into a deer for spying on the goddess Diana as she bathes; the god Mercury in a tale of envy; Orpheus descending into Hades for his love, Eurydice; and finally, Phaeton wreaking havoc with the sun-god's chariot.",---,2012.0,No studio,No theme,Fantasy,Kids
Silent Service,https://cdn.myanimelist.net/images/anime/1624/101493l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,3.0,30 min per ep,PG-13 - Teens 13 or older,"During the cold war, the Japan Maritime Self-Defense Force jointly developed a nuclear submarine with the United States Navy. On its maiden voyage, the captain of the submarine declares the submarine to be an independent state, ""Yamato.""",---,2012.0,Sunrise,Military,"Action, Drama",Seinen
Superbook,https://cdn.myanimelist.net/images/anime/1478/146212l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,26.0,24 min per ep,G - All Ages,"The series beings at the home of a young boy named Sho Azuka discovers the magical Bible ""Superbook"" that speaks and sends him, his friend Azusa Yamato, and his toy robot Zenmaijikake back in time to the early events of the Old Testament.",---,1981.0,Tatsunoko Production,Historical,"Adventure, Fantasy, Sci-Fi",Kids
Karma Saiyuki,https://cdn.myanimelist.net/images/anime/10/82817l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,35 min,Rx - Hentai,"A hentai version of the famous Journey to the West where Goku &amp; co. are big breasted babes.

(Source: AniDB)",---,2012.0,No studio,Parody,"Comedy, Hentai",No demographic
Aachi and Ssipak,https://cdn.myanimelist.net/images/anime/2/4034l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,1 hr 27 min,R+ - Mild Nudity,"After the world ran out of all traditional energy sources, only one remained—human excrement. To encourage citizens to produce as much waste as possible, the government implants a chip in the anus at birth, which provides citizens with ""juicybars"" every time it detects defecation. Juicybars are highly addictive narcotics that sometimes transform their users into mutant blue dwarfs with extreme constipation. These mutant addicts make up the ""Diaper Gang,"" those who live underground and are focused on trying to obtain juicybars.

Aachi and Ssipak are two small-time crooks who steal and sell juicybars to make it on the streets. When they meet a beautiful woman who has the anal chips of every Diaper Gang member implanted in her, producing dozens of juicybars with every dump, Aachi and Ssipak strike it rich. However, with both the government and the Diaper Gang on their tails, the two struggle to protect their newfound riches.

[Written by MAL Rewrite]",---,2012.0,No studio,No theme,"Action, Comedy",No demographic
Legend of the Mystical Ninja,https://cdn.myanimelist.net/images/anime/6/65107l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,23.0,24 min per ep,G - All Ages,"The evil overlord Makuamuge is planning to take over both the game and real worlds, and it is up to the ninja Goemon, his friends, girlfriend, and giant robot to defeat Makuamuge's henchmen and save both worlds.",---,1997.0,Trans Arts,No theme,Comedy,Shounen
Bleach the Movie: The DiamondDust Rebellion,https://cdn.myanimelist.net/images/anime/12/7499l.webp,https://www.youtube.com/watch?v=Nl1rdgDbnBY,1.0,1 hr 32 min,PG-13 - Teens 13 or older,"Assigned to protect a royal procession transporting a powerful artifact called the ""Ouin,"" Squad 10 gathers in the human world as Captain Toushirou Hitsugaya and Lieutenant Rangiku Matsumoto observe the area cautiously. However, the caravan is suddenly struck by a group of assailants who wreak havoc on the procession, stealing the Ouin in the process. After a brief clash with one of the attackers, the distraught Hitsugaya pursues the escaping thieves, leaving behind Matsumoto and the disoriented squad. Following the incident, the Seireitei brands Hitsugaya a traitor for abandoning his post and puts Squad 10 on indefinite lockdown.

In the human world, Ichigo Kurosaki is investigating a spiritual abnormality when he stumbles across the injured Captain, but is caught off guard when Hitsugaya suddenly flees. Soon learning of the situation, Ichigo, Rukia Kuchiki, Renji Abarai, and Matsumoto set off to prove Hitsugaya's innocence and uncover the truth behind the theft of the Ouin. Meanwhile, a ghost from Hitsugaya's past haunts his thoughts as he chases down the true culprit.

[Written by MAL Rewrite]",---,2012.0,Pierrot,No theme,"Action, Adventure, Supernatural",Shounen
Ponyo,https://cdn.myanimelist.net/images/anime/1331/138727l.webp,https://www.youtube.com/watch?v=CsR3KVgBzSM,1.0,1 hr 40 min,G - All Ages,"A goldfish sneaks away from home and floats off on the back of a jellyfish. After getting stuck in a glass jar, she drifts to the shore where she is freed by Sousuke, a five-year-old boy who lives with his mother Lisa in a house by the sea while his father Koichi works on a fishing boat. After healing a cut on Sousuke's finger by licking it, the goldfish is named Ponyo by her new friend.

Unknown to Sousuke, Ponyo already has a name and a family. Her father Fujimoto, a sorcerer who forsook his humanity to live underwater, searches frantically for his daughter Brunhilde. When found and captured, Ponyo rejects her birth name and declares that she wants to become a human. Using the power received from Sousuke's blood, she grows arms and legs and escapes to the surface once more. But the magic released into the ocean causes an imbalance in nature, causing the Moon to start falling out of orbit and the tides to grow dangerously stronger. Reunited with Ponyo, Sousuke must pass an ancient test to restore order in the world and let his companion live on as a human.

[Written by MAL Rewrite]","Gake no Ue no Ponyo—Miyazaki's 8th animated film with Studio Ghibli—grossed more than $201 million USD worldwide. It is made up of over 170,000 individual frames. In 2009, the film won in five categories at the 8th Annual Tokyo Anime awards. It was also awarded with the 32nd Japan Academy Prize for both Animation of the Year and Outstanding Musical Achievement. Many aspects of Ponyo drew from portions of day-to-day life. The seaside village, for example, is based on Tomonoura, Japan, with some sections inspired by Richard Wagner’s Die Walküre. The main character, Sosuke, is also named after the hero of The Gate by Natsume Soseki.",2012.0,Studio Ghibli,No theme,"Adventure, Award Winning, Fantasy",No demographic
Iblard Jikan,https://cdn.myanimelist.net/images/anime/2/18420l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,30 min,G - All Ages,"Much like looking through a window, Iblard Jikan explores the fantastic and beautiful world of Iblard by panning through art created by Naohisa Inoue. Iblard shows itself to be nothing short of amazing and will wash serenity over your mind.

(Source: ANN)",---,2012.0,Studio Ghibli,No theme,Fantasy,No demographic
Bob in the Bottle,https://cdn.myanimelist.net/images/anime/1249/134561l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,52.0,24 min per ep,G - All Ages,"One day Kan-chan finds a magic bottle in the attic. Whenever someone sneezes, a genie named Hakushon Daimaou is brought out and must grant any wish of whoever sneezed until he or she sneezes again. Sometimes, however, he accidentally fails and only causes trouble instead of granting any wishes.",---,1969.0,Tatsunoko Production,No theme,"Comedy, Fantasy",No demographic
Bondage Mansion,https://cdn.myanimelist.net/images/anime/1006/112096l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,2.0,30 min per ep,Rx - Hentai,"Yukio Mimura and Reika Uehara live in there family's mansion peacefully. They have feelings for each other and are sure that they will live happy together. One night, Hayato Mimura, their cousin, arrives saying he wants them out of the house. Yukio doesn't agree with this and begins to think of any way they could settle this. Hayate comes up with a contest that their fathers did to win the house before them. That contest is to see who can be the first one to break Reika. Whoever breaks her, will be the winner and keeper of the house.

(Source: ANN)",---,2012.0,Y.O.U.C,No theme,Hentai,No demographic
The Whale Hunt,https://cdn.myanimelist.net/images/anime/10/4067l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,16 min,G - All Ages,"A group of elementary school children play in their classroom, imagining that they are on a boat in the ocean. This fantasy becomes reality, and soon all the students find themselves stranded in the deep blue sea, looking for their own Moby Dick. Some of the kids want to harpoon the whale, others want to take its picture, and many of the kids are afraid and just want to return home. In the end, a gentle Totoro-esque whale shows up and plays with the children until their fantasy ends and they are again back in school.

(Source: Nausicaa.net)",Winner of the 2001 Oofuji Noburou Award at the Mainichi Film Awards.,2012.0,Studio Ghibli,No theme,"Adventure, Award Winning",No demographic
After Class Lesson,https://cdn.myanimelist.net/images/anime/5/18985l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,3.0,29 min per ep,Rx - Hentai,"Shibui Ryuji is a teacher of a girl school whose students are born in well-off families. All students hate him because of his figure and perverted nature. However, he happens to know the weakness of Tenkawa Ayumi, so he raped her. Tasting blood, he begins to rape his students, one after another taking advantages of their weakness.

(Source: AnimeNfo)",---,2012.0,T-Rex,No theme,Hentai,No demographic
Nandarou,https://cdn.myanimelist.net/images/anime/6/4068l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,1 min,PG - Children,"A short TV advertising spot featuring a small green pig with enormous eyes. 

The title Nandarou implies that even its creators didn't really know what kind of creature it was supposed to be. However, NTV (Nihon TV) chose it as their station's mascot. 

(Source: ANN, Nausicaa.net)",---,2012.0,Studio Ghibli,No theme,Comedy,No demographic
Higurashi: When They Cry - Cat Killing Chapter,https://cdn.myanimelist.net/images/anime/1492/118476l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,23 min,PG-13 - Teens 13 or older,"As a punishment for losing an intense poker game, Keiichi Maebara, Rena Ryuuguu, Mion Sonozaki, Satoko Houjou, and Rika Furude must walk around town dressed in costumes. Wanting to avoid being seen by more people, Keiichi convinces the group to visit Yagouchi—a deserted neighboring village.

Mion's mention of a nearby abandoned quarry spikes the attention of Rena and Keiichi. Still, as she tells them more about the mysterious incidents surrounding the place, they debate whether it would be wise to explore it.

[Written by MAL Rewrite]",---,2012.0,Studio Deen,No theme,Mystery,No demographic
Kameari Park Precinct,https://cdn.myanimelist.net/images/anime/8/58875l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,1 hr 34 min,PG-13 - Teens 13 or older,"The wicked multi-billionaire, Shinatora, builds wretched, ugly buildings. The explosives genius calling himself Benten has targeted Shinatora's empire and begins to destroy the monstrosities that are wiping out whole sections of downtown Tokyo. In cooperation with the local police force, the FBI has sent Lisa Hoshino, a bomb disposal expert, and her robot assistant, Dandy, on a lecture tour of Japan. Ryotsu is reluctantly paired with Lisa to protect the people of the Kameari district. Why does Benten only target Shinatora's buildings? What is his next target?

Another email warning arrives at the Katsushika Police Station. Benten's next target is the newly built, gigantic amusement park, Shinatora World. Lisa and Ryotsu hurry to the scene. What they find is a huge Soviet-era rocket armed with a massive bomb powerful enough to obliterate the entire area of Katsushika.

What can Ryotsu do?

(Source: AniDB)",---,2012.0,Gallop,"Adult Cast, Detective, Gag Humor","Action, Comedy, Mystery",Shounen
Charge!! Men's Private School,https://cdn.myanimelist.net/images/anime/12/60397l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,34.0,24 min per ep,R - 17+ (violence & profanity),"Otokojuku: a private school for juvenile delinquents that were previously expelled from normal schools. At this school, Japanese chivalry is taught through feudal and military fundamentals. Similar to an action film, the classes are overwhelmed by violence. Only those who survive it become true men.

(Source: ANN)",---,1988.0,Toei Animation,"Delinquents, Martial Arts, School","Action, Comedy",Shounen
Code Geass: Lelouch of the Rebellion R2,https://cdn.myanimelist.net/images/anime/1088/135089l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,25.0,24 min per ep,R - 17+ (violence & profanity),"One year has passed since the Black Rebellion, a failed uprising against the Holy Britannian Empire led by the masked vigilante Zero, who is now missing. At a loss without their revolutionary leader, Area 11's resistance group—the Black Knights—find themselves too powerless to combat the brutality inflicted upon the Elevens by Britannia, which has increased significantly in order to crush any hope of a future revolt. 

Lelouch Lamperouge, having lost all memory of his double life, is living peacefully alongside his friends as a high school student at Ashford Academy. His former partner C.C., unable to accept this turn of events, takes it upon herself to remind him of his past purpose, hoping that the mastermind Zero will rise once again to finish what he started, in this thrilling conclusion to the series.

[Written by MAL Rewrite]","Code Geass: Hangyaku no Lelouch R2 is an original anime series by Sunrise animation studio with original character designs by the all-female Japanese manga artist group CLAMP. Manga and light novels based off the show have been published by Kadokawa Shoten. The show has sold millions of DVDs and Blu-ray volumes and is extremely popular in both Japan and North America. The show is known for its multi-genre appeal and for its diverse cast of characters who face many moral dilemmas over the course of the series. The series won: ""The Best TV Animation"" award at the thirteenth Animation Kobe event in 2008, and ""The Most Popular Anime"" award at the Animage 's 30th Annual Anime Grand Prix.",2008.0,Sunrise,"Mecha, Military, Super Power","Action, Award Winning, Drama, Sci-Fi",No demographic
Ikkitousen: Dragon Destiny Specials,https://cdn.myanimelist.net/images/anime/1636/138210l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,6.0,3 min per ep,R+ - Mild Nudity,Ikkitousen Dragon Destiny Specials.,---,2012.0,Arms,"Martial Arts, School, Super Power","Action, Ecchi",Seinen
Rokushin Gattai GodMars: Juunana-sai no Densetsu,https://cdn.myanimelist.net/images/anime/1946/134588l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,56 min,R+ - Mild Nudity,"Marg was deprived his little brother, Mars, by Zure, and lost his parents. Therefore, he was living alone on the planet, Gishin. He became a member of guerrilla to riot against the dictator Zure, and he fell in love with Ruru, the daughter of the leader, Ura. However, the organization was destroyed. He was trapped by Zure, and he was brainwashed to become a soldier. Then, his long cherished wish that he would meet his brother again was realized… as a duel with him.

Gaia, God Mars, and the Gishin robot Zeron receive redesigns although the OVA mostly focuses on an alternate telling of Marg's life on Gishin up until the events of episode 19.

(Source: AnimeNfo)",---,2012.0,Tokyo Movie Shinsha,"Mecha, Space","Action, Sci-Fi",No demographic
Worku,https://cdn.myanimelist.net/images/anime/12/18022l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,2.0,11 min per ep,G - All Ages,"A dark stop motion anime about a lone traveler in a desert who finds a solitary box. When he opens it, he finds a rundown and rather spooky city made up of large tower block apartments. Suddenly, a mysterious ghostly stick entity appears and seems to follow our hero. What is the purpose of this strange figure?",---,2012.0,No studio,Psychological,Fantasy,No demographic
Dambo,https://cdn.myanimelist.net/images/anime/10/18023l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,5 min,PG-13 - Teens 13 or older,"The haunting, hallucinatory, and oddly cute journey of a young woman into a fantastical world called ""dambo"", lovingly crafted in stop-motion animation. Music by the Japanese electro-pop band, Electrical Lovers.",---,2012.0,No studio,Music,Fantasy,No demographic
Boku wa Kuma,https://cdn.myanimelist.net/images/anime/3/18043l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,G - All Ages,"A stop motion animation produced by NHK. A colorful children's music video about a clumsy bear, what he is—and is not—and what he likes and dislikes.",---,2012.0,dwarf,Music,Slice of Life,Kids
Tai Chi Chasers,https://cdn.myanimelist.net/images/anime/2/22328l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,39.0,27 min per ep,PG - Children,"After a strange and devastating attack on his home, a young boy named Rai is shocked to discover he's a secret descendent of the Tigeroids: an ancient race of peaceful beings locked in a struggle with the ruthless and cunning Dragonoids. In a parallel universe called Suhn, the Tigeroids and Dragonoids are battling furiously to recover 500 lost tai chi characters. Whoever retrieves these precious and potent symbols will possess the ultimate power to rule their realm…and destroy their enemies. As Rai hones his innate tai chi skills to fight the Dragonoids, he must find the lost tai chi and battle to become one of the champion Tai Chi Chasers!

(Source: 4Kids Entertainment)",---,2007.0,"Toei Animation, JM Animation",No theme,"Action, Adventure, Fantasy",No demographic
Fuku-chan no Sensuikan,https://cdn.myanimelist.net/images/anime/4/18230l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,30 min,G - All Ages,"Fuku-chan was one of the most popular newspaper comic strip boy-characters in Japan at the time. The film portrays a submarine attack on an enemy cargo ship. Though this, too, was to boost patriotism, Japanese children particularly enjoyed the scenes in which the kitchen crew cooked in the submarine kitchen. Released in November of the same year, the food shortage was quite serious in Japan, and the abundant food supply in the submarine kitchen -- vegetables, fruit, fish, rice, and more which were already luxury items in Japan at the time -- was prepared into various dishes along with a merry, rhythmic song.

(Source: AniDB)",---,2012.0,Shochiku Animation Institute,"Historical, Military",Comedy,No demographic
Mahou no Pen,https://cdn.myanimelist.net/images/anime/1550/146299l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,10 min,G - All Ages,"A western occupation propaganda film in which a boy repairs a western style doll that comes to life and uses a magic pen to rebuild his bleak and war torn world into a happy place resembling western civilization.

(Source: AniDB)",---,2012.0,No studio,Historical,No genres,No demographic
Kick Off (2002),https://cdn.myanimelist.net/images/anime/2/18290l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,26.0,23 min per ep,PG - Children,"A soccer animation produced for the 2002 FIFA World Cup co-hosted by Korea and Japan.

The main characters are two young men, a Japanese playmaker and a Korean striker. Friendship with teammates, their growth as soccer players, etc. are drawn.

(Source: Wikipedia)",---,2002.0,No studio,Team Sports,Sports,No demographic
The King's Tail,https://cdn.myanimelist.net/images/anime/2/18059l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,33 min,G - All Ages,---,---,2012.0,No studio,No theme,Fantasy,No demographic
Ponsuke no Udekurabe,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,10 min,G - All Ages,---,---,2012.0,No studio,No theme,Action,No demographic
Kujira (1952),https://cdn.myanimelist.net/images/anime/1336/112595l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,10 min,G - All Ages,"Remake of Oofuji's earlier film from the year 1927.

(Source: AniDB)",---,2012.0,No studio,No theme,Fantasy,No demographic
Mori no Ongakukai,https://cdn.myanimelist.net/images/anime/6/18061l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,9 min,G - All Ages,"During a concert in the forest, the big bad wolf begins to annoy the other animals with his foul smoking, noisy interruptions and destruction of the grounds. The other animals band together and eject the wolf for poor manners.",---,2012.0,No studio,No theme,Comedy,No demographic
Hana to Chou,https://cdn.myanimelist.net/images/anime/8/67929l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,9 min,G - All Ages,"An early color animation which uses the color to help tell the story. Three butterflies save a bird that falls out of it's nest during a rainstorm. The butterflies decide to ask the flowers for cover, but the red rose will only help the red butterfly since they are the same color.

(Source: AniDB)",---,2012.0,No studio,No theme,Fantasy,No demographic
Onbu Obake,https://cdn.myanimelist.net/images/anime/11/28415l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,25 min,G - All Ages,---,---,2012.0,Eiken,No theme,Supernatural,No demographic
The Black Woodcutter and the White Woodcutter,https://cdn.myanimelist.net/images/anime/7/71733l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,16 min,G - All Ages,"On a winter's night a bear, a fox and a squirrel seek refuge from the cold. They are drawn by the hearths in the homes of two woodcutters. One man treats them poorly, while the other welcomes them.

(Source: ANN)",---,2012.0,No studio,No theme,Fantasy,No demographic
Soukou Kihei Votoms: Pailsen Files Movie,https://cdn.myanimelist.net/images/anime/5/18067l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,1 hr 58 min,R - 17+ (violence & profanity),"Alternative release of Armored Trooper Votoms: Pailsen Files OVA. Was aired 2 years later. Created by the original staff of the series, with an all new story about the end of the 100 year war.",---,2012.0,The Answer Studio,"Mecha, Military, Space",Sci-Fi,No demographic
Linebarrels of Iron,https://cdn.myanimelist.net/images/anime/7/25929l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,2.0,23 min per ep,R - 17+ (violence & profanity),"Episodes 25 &amp; 26, added to DVD.",---,2012.0,Gonzo,Mecha,"Action, Comedy, Ecchi",Seinen
Komaneko: the Curious Cat,https://cdn.myanimelist.net/images/anime/1394/112307l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,58 min,G - All Ages,"Komaneko is the story of a very curious cat, named Koma-chan, that attempts to make her own stop motion. She deals with many challenges, but she also made some friends while creating her movie. Her curiosity makes her even more friends.",---,2012.0,dwarf,No theme,Slice of Life,Kids
Quiz Magic Academy: The Original Animation 2,https://cdn.myanimelist.net/images/anime/11/27241l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,29 min,PG-13 - Teens 13 or older,"Following the destruction of the magical floating device from OVA 1, the Magic Academy falls to earth, but unfortunately lands on and breaks a demon seal, releasing hundreds of ancient demons into the forest around the academy. The teachers are barely keeping the demons away and are desperately searching for the pieces of the floating device, so to earn more magic stones, all of the students from Amelia's class decide to leave the academy (even though they were told not to) to find the missing pieces.

(Source: ANN)",---,2012.0,AIC PLUS+,School,"Action, Comedy, Fantasy",No demographic
Pikachu's Exploration Club,https://cdn.myanimelist.net/images/anime/11/18114l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,21 min,PG - Children,"The fourth short premiered on ANA flights on August 1, 2007.

(Source: Wikipedia)",---,2012.0,OLM,No theme,"Adventure, Comedy, Fantasy",Kids
Goliath the Super Fighter,https://cdn.myanimelist.net/images/anime/3/60417l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,36.0,24 min per ep,PG-13 - Teens 13 or older,"Five youths from Edo City explore a strange rocky island and discover the mecha that Doctor Hoarai had been creating in order to resist the impending attack by a race of subterranean rock people. 

Doctor Hoarai was ridiculed by the scientific community for his predictions that such an attack would take place. The youths decide to join the doctor (who was dead but had transferred his mind into a computer) in piloting the vehicles and protecting Earth. The Gowapper 5 Gordam team is born! With the aid of the giant fighting robot Gordam, the Gowapper team under the leadership of Youko Misaki must face the hordes of the inhuman subterranean people.

(Source: AniDB)","Gowapper was the first super robot anime to feature a female as the leader and main character. The concept of a group of young adults gathering to fight evil can be seen in other Tatsunoko works such as Science Ninja Team Gatchaman and in manga written by Tatsuo Yoshida and Ippei Kuri, but as of 2008, the only other Tatsunoko production featuring a female lead is Time Bokan 2000: Kaitou Kiramekiman. Gowappa 5 Gordam has a bright theme song and light-hearted situations, but the story also includes more serious parts, and there are episodes that end on a rather bitter note. (Source: Wikipedia)",1976.0,Tatsunoko Production,Mecha,"Action, Adventure, Sci-Fi",No demographic
Fate/stay night TV Reproduction,https://cdn.myanimelist.net/images/anime/7/33537l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,2.0,59 min per ep,R - 17+ (violence & profanity),An edited and condensed version of the TV series.,---,2012.0,Studio Deen,Urban Fantasy,"Action, Fantasy, Romance",No demographic
Phantom Thief Reinya,https://cdn.myanimelist.net/images/anime/12/75516l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,12.0,3 min per ep,PG - Children,"Reinya appears to be an ordinary girl working at a convenience store but she is in fact, the Phantom Thief Reinya. Together with her assistant Chūtarō in their secret hideout right below the local convenience store, Reinya hatches plans to steal various treasures made of gold. They face an incompetent trio of a perverted police inspector, a policewoman who is a natural airhead, and a detective totally infatuated with Reinya, all of them in a police station beside Reinya's convenience store.

(Source: ANN)",---,2010.0,Stingray,No theme,Comedy,No demographic
Umineko: When They Cry Specials,https://cdn.myanimelist.net/images/anime/10/18234l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,26.0,1 min per ep,PG-13 - Teens 13 or older,DVD and BD specials of Umineko no Naku Koro ni containing the parody dubbing by the original cast.,---,2012.0,Studio Deen,Parody,Comedy,No demographic
Idol Ace,https://cdn.myanimelist.net/images/anime/6/18140l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,2 min,PG-13 - Teens 13 or older,"In summer 2005 an original promotional animation of 2.5 minutes length was produced by Shogakukan for the upcoming release of the Idol Ace manga by Adachi Mitsuru in the Weekly Young Sunday magazine.

The short features the main character being recorded throughout the day by a peeping pervert.

(Source: AniDB)",---,2012.0,OLM,No theme,Comedy,No demographic
Diamond Daydreams Special,https://cdn.myanimelist.net/images/anime/1263/129084l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,24 min,PG-13 - Teens 13 or older,An OVA released with the boxset of Diamond Daydreams. Continues Kitano Suomi's story from the 7th episode. It also contains bloopers of the previous episodes.,---,2012.0,No studio,No theme,"Drama, Slice of Life",No demographic
San Ge Heshang,https://cdn.myanimelist.net/images/anime/1580/116384l.webp,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1.0,19 min,G - All Ages,"The film is based on the ancient Chinese proverb ""One monk will shoulder two buckets of water, two monks will share the load, but add a third and no one will want to fetch water."" The film does not contain any dialogues.

(Source: Wikipedia)",---,2012.0,No studio,Music,No genres,No demographic
